domain	site	siteID	dateExcel	techs	FY2015	FY2016	dodobase	Notes	fieldNotesMissing?
D01	HARV	D01HARV	7/19/2012				Y		
D01	BART	D01BART	8/20/2013	"JE, KB"			Y		
D01	BURL	D01BURL				Y	N	descoped	
D02	BLAN	D02BLAN	1/15/2012	"JE, HA"			Y		
D02	SCBI	D02SCBI	5/13/2013	"JS, JE"			Y		
D02	SERC	D02SERC	5/6/2014	"HA, RK"			Y		
D03	OSBS	D03OSBS	6/21/2012				Y		
D03	JERC	D03JERC	12/11/2012	"JS, JE"			Y		
D03	DSNY	D03DSNY	2/5/2013	JE			Y		
D04	LAJA	D04LAJA	4/8/2014	"JS, JE"			Y		
D04	MAME	D04MAME	10/29/2014	"JE, AH"			Y		
D04	GUAN	D04GUAN	4/15/2015	"RK, OS"	Y		N*		
D05	UNDE	D05UNDE	9/10/2013	"JE, KB"			Y		
D05	STEI	D05STEI	6/16/2015	"AH, AHS, OS"	Y		N		
D05	TREE	D05TREE	6/16/2015	"AH, AHS, OS"	Y		N		
D06	KONZ	D06KONZ	6/24/2014	"JE, JM, VL"			Y		
D06	UKFS	D06UKFS	7/22/2014	"JE, RK"			Y		
D06	KONA	D06KONA	NA	N/A			N		
D07	ORNL	D07ORNL	9/23/2013	"JS, RK"			Y		Yes
D07	MLBS	D07MLBS	12/3/2013	"JE, JS"			Y		
D07	GRSM	D07GRSM	 4/20/2015	"CF, AH"	Y		N*		
D08	TALL	D08TALL	1/14/2013	"HA, RK"			Y		Yes
D08	DELA	D08DELA	3/6/2013	HA			Y		
D08	LENO	D08LENO	3/6/2015	"CF, RK"	Y		N*		
D09	WOOD	D09WOOD	9/18/2012				Y		
D09	DCFS	D09DCFS	9/26/2012				Y		
D09	NOPG	D09NOPG	3/6/2013	"JE, HA"			Y		
D10	CPER	D10CPER	8/14/2012				Y		
D10	RMNP	D10RMNP	5/31/2013	JE			Y		
D10	STER	D10STER	4/11/2014	JE			Y		
D11	OAES	D11OAES	2/20/2013	HA			Y		
D11	CLBJ	D11CLBJ	NA			Y	N		
D11	WICH	D11WICH	NA			Y	N	descoped	
D12	YELL	D12YELL	NA			Y	N		
D12	BOZE	D12BOZE	NA			Y	N	descoped	
D12	PARA	D12PARA	NA			Y	N	descoped	
D13	MOAB	D13MOAB	2/24/2014	"JE, AH"			Y		
D13	NIWO	D13NIWO	8/19/2014	JE			Y		
D13	FRAS	D13FRAS	NA			Y	N	descoped	
D14	JORN	D14JORN	3/6/2013	"JS, JE"			Y		
D14	SRER	D14SRER	11/4/2013	HA			Y		
D14	TBD	D14TBD	NA			Y	N	descoped	
D15	ONAQ	D15ONAQ	6/3/2014	"RK, JM"			Y		
D15	RBUT	D15RBUT	NA			Y	N	descoped	
D15	TBD	D15TBD	NA			Y	N	descoped	
D16	ABBY	D16ABBY	6/1/2015	"RK, CF"	Y		N*		
D16	Thayer	D16Thayer	NA			Y	N	descoped	
D16	WREF	D16WREF	NA			Y	N		
D17	SJER	D17SJER	NA		Y	Y	N		
D17	TEAK	D17TEAK	NA			Y	N		
D17	SOAP	D17SOAP	NA			Y	N		
D18	BASC	D18BASC	NA			Y	N		
D18	TOOL	D18TOOL	NA			Y	N		
D18	BONA	D18BONA	NA			Y	N		
D19	DEJU	D19DEJU	7/30/2015	"OS, AH"	Y	Y	N		
D19	HEAL	D19HEAL	NA			Y	N	descoped	
D19	POKE	D19POKE	NA			Y	N	descoped	
D20	OLAA	D20OLAA	NA			Y	N		
D20	PUWI	D20PUWI	NA			Y	N	descoped	
D20	PUWA	D20PUWA	NA			Y	N	descoped	
