siteID,pitProfileID,topDepth,bottomDepth,orientation,sampleMethod,sampleLength,sampleArea,sampleVolume,fineRootLiveMass,coarseRootLiveMass,fineRootDeadMass,coarseRootDeadMass,remarks
D01BART,1,0,10,NA,SK,,100,1000,12723.4,4083.8,99.2,0,NA
D01BART,1,10,20,NA,SK,,100,1000,2187,4422.5,346.3,614.5,NA
D01BART,1,20,30,NA,SK,,100,1000,1184.3,0,132.1,0,NA
D01BART,1,30,40,NA,SK,,90,900,167.2,0,139.3,0,NA
D01BART,1,40,50,NA,SK,,100,1000,170.2,0,227.5,0,NA
D01BART,1,50,60,NA,SK,,100,1000,57.9,0,37.5,0,NA
D01BART,1,60,70,NA,SK,,110,1320,113.1,131.3,75.8,0,NA
D01BART,1,70,80,NA,SK,,100,1000,485.3,0,271.9,61.3,NA
D01BART,1,80,90,NA,SK,,105,1102.5,165.9,0,118.4,0,NA
D01BART,1,90,100,NA,SK,,100,1000,5,0,11.5,0,NA
D01BART,1,100,120,long axis parallel ,SK,,110,2200,8.7,0,32,0,NA
D01BART,1,120,140,long axis parallel ,SK,,110,2200,11.9,0,3.1,0,NA
D01BART,1,140,160,long axis parallel ,SK,,100,2000,0.1,0,0.3,0,NA
D01BART,2,0,10,NA,SK,,100,1000,3426.4,5191.6,537.7,622.9,NA
D01BART,2,10,20,NA,SK,,100,1000,2831.6,3629.1,494.8,292.4,very large rock that spread far and prevented horizontal shift of sample
D01BART,2,20,30,NA,SK,,45,450,1211.5,3277.2,199.2,111.9,NA
D01BART,2,30,40,NA,SK,,100,1000,1061.5,0,293.9,72.3,translocated to the right to avoid very large rock
D01BART,2,40,50,NA,SK,,120,1200,178.3,0,100.4,0,NA
D01BART,2,50,60,NA,SK,,140,1540,200.9,0,117.6,0,NA
D01BART,2,60,70,NA,SK,,140,1400,131.1,0,173.8,0,NA
D01BART,2,70,80,NA,SK,,100,1000,153.2,0,76.5,0,NA
D01BART,2,80,90,NA,SK,,99,940.5,7.5,0,10.2,0,NA
D01BART,2,90,100,NA,SK,,120,1080,177.3,0,237.7,0,small amount from face adjacent to sample fell in to sample collection
D01BART,2,100,120,long axis parallel ,SK,,100,2000,8.5,0,8.2,0,NA
D01BART,2,120,140,long axis parallel ,SK,,100,2200,0.7,0,2.1,0,NA
D01BART,2,140,160,long axis parallel ,SK,,100,2000,0.3,0,0,0,NA
D01BART,3,0,10,NA,SK,,90,990,4855,792.7,620.7,329.9,NA
D01BART,3,10,20,NA,SK,,156,1872,4261.3,8364.6,859.8,838.1,NA
D01BART,3,20,30,NA,SK,,100,1000,1438.5,1152.4,461.3,375.5,NA
D01BART,3,30,40,NA,SK,,110,1100,472.4,0,336.2,0,NA
D01BART,3,40,50,NA,SK,,110,1100,125.6,0,34.4,0,NA
